App_ID,Permission,Use_
44,SMS,"read, receive, and send MMS and SMS messages."
45,SMS,"read, receive, and send MMS and SMS messages."
46,SMS,"read, receive, and send MMS and SMS messages."
47,SMS,"read, receive, and send MMS and SMS messages."
48,SMS,"read, receive, and send MMS and SMS messages."
9,"Physical activity","access your physical activity logs, such as step count and exercise info."
41,"Physical activity","access your physical activity logs, such as step count and exercise info."
42,"Physical activity","access your physical activity logs, such as step count and exercise info."
2,"Call Logs",NA
3,"Call Logs",NA
6,"Call Logs",NA
43,"Call Logs",NA
